지하철 호 내,2
할아버지 마스크 턱,5
건물 층 코로나,2
층 사용 사람,2
사용 사람 불안,3
층 폐쇄 조치,3
폐쇄 조치 생각,2
현장 내 마스크,7
내 마스크 미착,12
명부 작성 것,15
이발사 마스크 미착용,2
손 대다수 마스크,2
대다수 마스크 미착용,14
새벽 시 이후,5
코로나 예방 수칙,10
수칙 의무 이행,2
발열 체크 반복,2
출입자 명부 작성,95
명부 작성 확인,7
테이블 간 거리,42
간 거리 두기,40
거리 두기 미,43
두기 미 실시,13
미 실시 등,2
실시 등 코로나,3
등 코로나 관련,6
코로나 관련 방역,7
관련 방역 수칙,8
방역 수칙 준수,61
수칙 준수 신고,3
식사 홀 직원,3
때 계산 때,6
계산 때 끝,2
주인 아주머니 아저씨,3
아주머니 아저씨 마스크,2
마스크 불량 턱스,2
불량 턱스 크,4
턱스 크 미착용,7
미착용 손 마스크,5
번 출구 번,3
장시간 마스크 미착용,10
아파트 상가 지하,4
상가 지하 위치,2
정육점 일 분,2
서빙 사람 조리,2
사람 조리 사람,2
분 마스크 영업,2
서울 서대문구 미래,2
서빙 데 마스크,2
데 마스크 것,3
마스크 것 것,4
발열 체크 기기,2
출입자 명부 확인,2
거리 두기 지침,69
체육 시설 이용자,5
시설 이용자 마스크,6
이용자 마스크 미착용,21
체육 시설 업,6
출입자 관리 위반,39
소독 발열 체크,16
의무 사항 위반,3
월 일 토요일,76
실내 체육 시설,405
오후 시 식사,4
시 식사 시,3
시 분 시,80
식사 분 명부,2
분 명부 작성,4
명부 작성 손님,3
명부 작성 요청,3
식당 일 분,7
일 분 관리,2
지하철 호 선,37
호 선 차량,4
기존 신고 번호,2
포 짐 목동,2
짐 목동 점,2
후 마스크 번,2
마스크 번 착용,5
정확 마스크 착용,3
마스크 착용 사진,8
사진 첨부 회원,2
과태료 부과 수,2
헬스 장 경고,2
헬스 장 측,7
번 신고 신고,2
신고 신고 민원,2
과태료 부과 요청,2
음식 장사 마스크,3
등 마스크 채,3
정도 마스크 턱스,2
마스크 턱스 크,28
턱스 크 등,10
등 집단 감염,4
중간 중간 마스크,7
중간 마스크 착용,4
착용 적극 조치,2
이상 사람 것,4
사람 것 신고,2
직원 카운터 직원,2
직원 홀 직원,5
방문 시 마스크,14
시 마스크 미착용,77
마스크 미착용 착용,34
착용 일 명,2
일 명 턱스,6
명 턱스 크,7
턱 마스크 착용,10
아이 보호자 마스크,2
기침 데 마스크,3
마스크 미착용 담배,11
오후 시 분경,105
출입자 발열 체크,24
발열 체크 사람,9
음식 분 마스크,15
대아 빌딩 층,3
빌딩 층 불법,2
사무실 내 마스크,9
내 마스크 미착용,125
마스크 미착용 사람,70
지속 마스크 착용,19
코로나 시대 마스크,3
데 월 일,6
월 일 오후,223
일 오후 시,228
오후 시 시,47
시 시 반,5
애 마스크 하나,2
보호자 마스크 착용,6
마스크 착용 아이,9
방 방장 안,2
직원 명 이야기,2
출입 시 체온,23
시 체온 측정,24
체온 측정 것,6
마스크 비말 수,2
기본 방역 지침,32
방역 지침 거,44
조치 필요 거,5
동 주민 센터,28
주민 센터 직원,6
직원 아침 출근,2
출입 시 열,2
